id;dttmcr;manufacturer;logo_link;site_link;reg_date
1;2022-06-29 20:22:49.226849+05;AROMA TEA COFFEE;https://aromateacoffee.ru/themes/opt-with-old/assets/img/opt/logo-header.png;https://aromateacoffee.ru/;2018-07-19
2;2022-06-29 20:22:49.226849+05;Кофе MADEO;https://madeo.ru/netcat_files/c/logo_black.svg;https://madeo.ru/;2003-05-27
3;2022-06-29 20:22:49.226849+05;Barista proof;https://baristaproof.ru/img/24379700.png;https://baristaproof.ru/;2018-03-14
4;2022-06-29 20:22:49.226849+05;CoffeeTime;https://coffeetimeufa.ru/wp-content/themes/coffeetimeufa/assets/img/main-logo.svg;https://coffeetimeufa.ru/;2014-09-29
